listing_nickname,year,month,monthname,week,weekname,weekdate,avail_days,booked_days,occ_rate,ADR,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
C703,2018,8,Aug,32,2018-08-06 00:00:00,2018-08-06T07:00:00Z,7,6,0.8571428571428571,270.2873333333333,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,8,Aug,33,2018-08-13 00:00:00,2018-08-13T07:00:00Z,7,7,1,266.3603809523809,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,8,Aug,34,2018-08-20 00:00:00,2018-08-20T07:00:00Z,7,7,1,212.84333333333333,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,8,Aug,35,2018-08-27 00:00:00,2018-08-27T07:00:00Z,5,2,0.4,276.255,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,9,Sep,35,2018-08-27 00:00:00,2018-08-27T07:00:00Z,2,2,1,217.135,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,9,Sep,36,2018-09-03 00:00:00,2018-09-03T07:00:00Z,7,5,0.7142857142857143,180.926,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,9,Sep,37,2018-09-10 00:00:00,2018-09-10T07:00:00Z,7,4,0.5714285714285714,199.0925,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,9,Sep,38,2018-09-17 00:00:00,2018-09-17T07:00:00Z,7,7,1,227.75238095238095,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,9,Sep,39,2018-09-24 00:00:00,2018-09-24T07:00:00Z,7,4,0.5714285714285714,213.51583333333332,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,10,Oct,40,2018-10-01 00:00:00,2018-10-01T07:00:00Z,0,4,0,199.9725,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,10,Oct,43,2018-10-22 00:00:00,2018-10-22T07:00:00Z,0,1,0,210.292,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,10,Oct,44,2018-10-29 00:00:00,2018-10-29T07:00:00Z,0,3,0,210.292,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,11,Nov,44,2018-10-29 00:00:00,2018-10-29T07:00:00Z,0,1,0,210.292,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C703,2018,11,Nov,45,2018-11-04 23:00:00,2018-11-05T07:00:00Z,0,4,0,213.59,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,7,Jul,30,2017-07-24 00:00:00,2017-07-24T07:00:00Z,3,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,7,Jul,31,2017-07-24 00:00:00,2017-07-24T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,7,Jul,31,2017-07-31 00:00:00,2017-07-31T07:00:00Z,1,0,0,NaN,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,31,2017-07-31 00:00:00,2017-07-31T07:00:00Z,5,5,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,32,2017-07-31 00:00:00,2017-07-31T07:00:00Z,1,1,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
C708,2017,8,Aug,32,2017-08-07 00:00:00,2017-08-07T07:00:00Z,6,6,1,195.46666666666667,cove,Cove,"601 E Pike St, Seattle WA 98122.",47.6139204,-122.3241405,capitol hill,OG30
