conf,listing_nickname,booked,rev,status,source,year,month,BT,rev_mo,building,Bldg_Name,Address,Latitude,Longitude,neighborhood,cohort
HMNKJW5BKQ,EX829,2017-12-14,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-15,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-16,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-17,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-18,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-19,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-20,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMNKJW5BKQ,EX829,2017-12-21,96.53272727272726,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMTJ94A4HN,EX829,2017-12-09,137.74,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMTJ94A4HN,EX829,2017-12-10,137.74,confirmed,Airbnb,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
lv7BQXg,EX829,2017-12-24,126.394,confirmed,direct,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
lv7BQXg,EX829,2017-12-25,126.394,confirmed,direct,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
lv7BQXg,EX829,2017-12-26,126.394,confirmed,direct,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
lv7BQXg,EX829,2017-12-27,126.394,confirmed,direct,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
lv7BQXg,EX829,2017-12-28,126.394,confirmed,direct,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMAZQ29ZFB,EX829,2017-11-22,143.56,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMAZQ29ZFB,EX829,2017-11-23,143.56,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMAZQ29ZFB,EX829,2017-11-24,143.56,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMAZQ29ZFB,EX829,2017-11-25,143.56,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMAZQ29ZFB,EX829,2017-11-26,143.56,confirmed,Airbnb,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-Q9wPMZ,EX829,2017-12-30,166.57,confirmed,Expedia,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-Q9wPMZ,EX829,2017-12-31,166.57,confirmed,Expedia,2017,12,1,2017-12-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-25,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-26,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-27,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-28,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-29,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-09-30,139,confirmed,Airbnb,2017,9,1,2017-09-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-10-01,139,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HM43Z3QMWH,EX829,2017-10-02,139,confirmed,Airbnb,2017,10,1,2017-10-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMQRW4HHXS,EX829,2018-01-03,143.075,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMQRW4HHXS,EX829,2018-01-04,143.075,confirmed,Airbnb,2018,1,1,2018-01-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-xKDJ9q,EX829,2017-11-19,116.46666666666665,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-xKDJ9q,EX829,2017-11-20,116.46666666666665,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
RU-xKDJ9q,EX829,2017-11-21,116.46666666666665,confirmed,Expedia,2017,11,1,2017-11-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-02-25,141.01375,confirmed,Airbnb,2018,2,1,2018-02-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
HMD2KT4ERQ,EX829,2018-02-26,141.01375,confirmed,Airbnb,2018,2,1,2018-02-01,excelsior,Excelsior,"1535 Bellevue Ave, Seattle WA 98112.",47.6150442,-122.3270794,capitol hill,OG30
