conf,listing_nickname,booked,rev,status,source
NPEQ8F,VR1204,2017-02-11,163.75,confirmed,Airbnb
NPEQ8F,VR1204,2017-02-12,163.75,confirmed,Airbnb
NPEQ8F,VR1204,2017-02-13,163.75,confirmed,Airbnb
RU-Q9YXg7,VR1204,2018-09-17,229.3166666666667,confirmed,Expedia
RU-Q9YXg7,VR1204,2018-09-18,229.3166666666667,confirmed,Expedia
RU-Q9YXg7,VR1204,2018-09-19,229.3166666666667,confirmed,Expedia
SYR3YE,VR1204,2017-05-17,145.33333333333334,confirmed,Airbnb
SYR3YE,VR1204,2017-05-18,145.33333333333334,confirmed,Airbnb
SYR3YE,VR1204,2017-05-19,145.33333333333334,confirmed,Airbnb
HM4FPZSR3N,VR1204,2017-06-20,267,confirmed,Airbnb
HM4FPZSR3N,VR1204,2017-06-21,267,confirmed,Airbnb
RU-wJXX0X,VR1204,2018-08-31,364.43,confirmed,Expedia
RU-wJXX0X,VR1204,2018-09-01,364.43,confirmed,Expedia
MXJ3MJ,VR1204,2017-01-23,182,confirmed,Airbnb
MXJ3MJ,VR1204,2017-01-24,182,confirmed,Airbnb
4C4BQW,VR1204,2017-05-06,165,confirmed,Airbnb
4C4BQW,VR1204,2017-05-07,165,confirmed,Airbnb
HM32PYDE2P,VR1204,2017-06-06,217.33333333333334,confirmed,Airbnb
HM32PYDE2P,VR1204,2017-06-07,217.33333333333334,confirmed,Airbnb
HM32PYDE2P,VR1204,2017-06-08,217.33333333333334,confirmed,Airbnb
HMP85ATBYS,VR1204,2017-07-13,200.5,confirmed,Airbnb
HMP85ATBYS,VR1204,2017-07-14,200.5,confirmed,Airbnb
JJYQMD,VR1204,2017-02-05,169.66666666666666,confirmed,Airbnb
JJYQMD,VR1204,2017-02-06,169.66666666666666,confirmed,Airbnb
JJYQMD,VR1204,2017-02-07,169.66666666666666,confirmed,Airbnb
BD555N,VR1204,2017-02-20,163.75,confirmed,Airbnb
BD555N,VR1204,2017-02-21,163.75,confirmed,Airbnb
BD555N,VR1204,2017-02-22,163.75,confirmed,Airbnb
BD555N,VR1204,2017-02-23,163.75,confirmed,Airbnb
9E5SMN,VR1204,2017-04-22,176,confirmed,Airbnb
9E5SMN,VR1204,2017-04-23,176,confirmed,Airbnb
9E5SMN,VR1204,2017-04-24,176,confirmed,Airbnb
9E5SMN,VR1204,2017-04-25,176,confirmed,Airbnb
9E5SMN,VR1204,2017-04-26,176,confirmed,Airbnb
9E5SMN,VR1204,2017-04-27,176,confirmed,Airbnb
F9JE3Q,VR1204,2017-05-01,182,confirmed,Airbnb
F9JE3Q,VR1204,2017-05-02,182,confirmed,Airbnb
F9JE3Q,VR1204,2017-05-03,182,confirmed,Airbnb
