Bldg_Name,listing_nickname,year,rev_mo,days_booked,days_avail,occ_rate,Avg_Rev,Rev_Par
Marina SLU,MS401,2019,2019-02-01,12,28,0.42857142857142855,158.54416666666665,67.94749999999999
Marina SLU,MS402,2018,2018-01-01,1,377,0.002652519893899204,118.16,0.31342175066312994
Marina SLU,MS402,2018,2018-02-01,11,28,0.39285714285714285,95.23272727272727,37.41285714285714
Marina SLU,MS402,2018,2018-03-01,28,31,0.9032258064516129,119.64696428571429,108.06822580645161
Marina SLU,MS402,2018,2018-04-01,14,30,0.4666666666666667,124.09892857142857,57.91283333333333
Marina SLU,MS402,2018,2018-09-01,24,30,0.8,167.82500000000002,134.26000000000002
Marina SLU,MS402,2018,2018-10-01,5,31,0.16129032258064516,148.338,23.92548387096774
Marina SLU,MS403,2018,2018-02-01,20,28,0.7142857142857143,100.8408125,72.02915178571429
Marina SLU,MS403,2018,2018-03-01,27,31,0.8709677419354839,112.12550925925926,97.65770161290322
Marina SLU,MS403,2018,2018-04-01,27,30,0.9,126.97787749287748,114.28008974358974
Marina SLU,MS403,2018,2018-05-01,1,491,0.002036659877800407,128.16230769230768,0.26102302992323356
Marina SLU,MS403,2018,2018-09-01,27,30,0.9,147.16296296296295,132.44666666666666
Marina SLU,MS403,2018,2018-10-01,12,31,0.3870967741935484,158.01250000000002,61.16612903225807
Marina SLU,MS403,2018,2018-11-01,2,30,0.06666666666666667,174.41,11.627333333333333
Marina SLU,MS404,2018,2018-01-01,2,377,0.005305039787798408,90.99,0.48270557029177713
Marina SLU,MS404,2018,2018-02-01,13,28,0.4642857142857143,94.97211538461536,44.09419642857142
Marina SLU,MS404,2018,2018-03-01,24,31,0.7741935483870968,152.61524189330544,118.15373565933324
Marina SLU,MS404,2018,2018-04-01,23,30,0.7666666666666667,126.23478260869565,96.78
Marina SLU,MS404,2018,2018-08-01,1,31,0.03225806451612903,212.42999999999998,6.852580645161289
Marina SLU,MS404,2018,2018-09-01,15,690,0.021739130434782608,163.148,3.546695652173913
