listing_nickname,launch_date,end_date,building,neighborhood,pdlaunch_date,pdend_date
MS310,2018-08-29T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS311,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS311,2018-08-29T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS401,2018-08-28T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS402,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS402,2018-08-29T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS403,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS403,2018-08-30T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-08-01T07:00:00Z,2019-12-01T08:00:00Z
MS404,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS404,2018-09-01T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS406,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS406,2018-09-01T07:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2018-09-01T07:00:00Z,2019-12-01T08:00:00Z
MS407,2018-01-15T08:00:00Z,2018-05-09T07:00:00Z,marina,south lake union,2018-01-01T08:00:00Z,2018-05-01T07:00:00Z
MS407,2019-12-31T08:00:00Z,2019-12-31T08:00:00Z,marina,south lake union,2019-12-01T08:00:00Z,2019-12-01T08:00:00Z
